sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
886550.4,269.72301365760023,281.1208981363045,886550.4,269.72301365760023,277.7586798116536
889228.8,269.247617468509,280.98397163867173,889228.8,269.247617468509,277.6008936418987
891907.2000000001,269.19022633658176,280.874843542431,891907.2000000001,269.19022633658176,277.4869060207755
892800,269.25,280.84837680519047,892800,269.25,277.46258810094844
892800,269.25,280.84837680519047,892800,269.25,277.46258810094844
894585.6,269.45124253090927,280.5971930614698,894585.6,269.45124253090927,277.23038261422437
897264,270.114,280.62298605534863,897264,270.114,277.2870295185786
899942.4,270.9323999999995,280.7819372990081,899942.4,270.9323999999995,277.48409763321683
902620.8,271.7508000000002,281.02897882199943,902620.8,271.7508000000002,277.7678752461047
905299.2000000001,272.56919999999974,281.52206135066973,905299.2000000001,272.56919999999974,278.2895046090253
907977.6,273.4879047201399,282.0402885155315,907977.6,273.4879047201399,278.83580988479264
910656,275.2691257043478,282.62490855854304,910656,275.2691257043478,279.49199536777047
913334.4,276.6048058220117,283.19666074496376,913334.4,276.6048058220117,280.1264978235481
916012.8,277.5760685312001,283.7089902766382,916012.8,277.5760685312001,280.6885867244278
918691.2000000001,277.3388000000002,284.0826628099887,918691.2000000001,277.3388000000002,281.0653180300274
921369.6,276.52039999999954,284.2224104613681,921369.6,276.52039999999954,281.1734697693989
924048,275.702,284.13686169583946,924048,275.702,281.06227189726866
926726.4,275.15505752997643,283.98496793575305,926726.4,275.15505752997643,280.89381338803696
928800,275.34999999999997,283.9007482085681,928800,275.34999999999997,280.8269113052989
928800,275.34999999999997,283.9007482085681,928800,275.34999999999997,280.8269113052989
929404.8,275.4338582518418,284.03129909984597,929404.8,275.4338582518418,280.960891104502
932083.2000000001,275.91965863303517,284.0482554061506,932083.2000000001,275.91965863303517,281.00794605302724
934761.6,275.9509847156363,283.9975758572048,934761.6,275.9509847156363,280.9769172149594
937440,276.1674545454545,283.9485837156057,937440,276.1674545454545,280.9488906564702
940118.4,276.3736613930442,283.9175310677418,940118.4,276.3736613930442,280.94999558034493
942796.8,275.4330482831741,283.8172936604737,942796.8,275.4330482831741,280.8236561416901
945475.2000000001,275.0383286497883,283.7265734005774,945475.2000000001,275.0383286497883,280.72195334967915
948153.6,274.6241586724569,283.63611302038,948153.6,274.6241586724569,280.6223394909351
950400,274.25,283.5532415838424,950400,274.25,280.5284082563362
950400,274.25,283.5532415838424,950400,274.25,280.5284082563362
950832,274.1993572571428,283.53757199354527,950832,274.1993572571428,280.51100330955916
953510.4,274.2189386569142,283.4573535039724,953510.4,274.2189386569142,280.43566785294115
956188.8,274.5254240000001,283.39834996235084,956188.8,274.5254240000001,280.397293640695
958867.2000000001,275.3573164799996,283.37259276305275,958867.2000000001,275.3573164799996,280.4166606002393
961545.6,276.55705741265496,283.39335104305496,961545.6,276.55705741265496,280.5123192156919
964224,277.05604625454544,283.39379785432646,964224,277.05604625454544,280.5613700753765
966902.4,276.78731898026695,283.3545885763725,966902.4,276.78731898026695,280.5342835864669
969580.8,276.0777383679997,283.2823873543488,969580.8,276.0777383679997,280.44925726303325
972259.2000000001,275.3078990080001,283.18817306897466,972259.2000000001,275.3078990080001,280.32973254407125
